thinkBack: Stock quote and option quote for EBAY on 10/29/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
51.97,+.335,"8,551,595",51.80,52.28,51.46

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

NOV1 13  (4)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.33,.02,-.01,.21,.17,2.94,27.61%,22.74%,77.26%,49.84%,34,936,0,2.935,2.90,2.97,JAN 15,62.5,13.00,13.10,-.68,.02,-.01,.20,-.46,13.05,26.52%,77.81%,22.19%,48.38%,0,112,10.53,2.52
.28,.02,-.01,.19,.15,2.40,27.53%,19.01%,80.99%,41.45%,72,"2,199",0,2.40,2.37,2.43,JAN 15,65,14.95,15.05,-.73,.02,-.01,.19,-.47,15.00,26.35%,81.68%,18.32%,39.71%,0,151,13.03,1.97
.21,.02,-.01,.16,.11,1.59,27.43%,13.05%,86.95%,28.20%,0,994,0,1.59,1.56,1.62,JAN 15,70,19.15,19.30,-.79,.02,.00,.16,-.45,19.23,26.51%,87.55%,12.45%,26.81%,0,379,18.03,1.195

JAN 16  (808)  100
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.89,.01,.00,.14,.49,24.28,39.87%,73.85%,26.15%,45.31%,1,326,21.97,2.305,24.05,24.50,JAN 16,30,1.37,1.46,-.09,.01,.00,.13,-.13,1.42,34.54%,20.53%,79.47%,36.48%,4,200,0,1.415
.84,.01,.00,.19,.52,20.33,37.21%,67.25%,32.75%,56.66%,0,179,16.97,3.355,20.10,20.55,JAN 16,35,2.26,2.45,-.14,.01,.00,.17,-.21,2.35,32.75%,28.14%,71.86%,49.77%,0,390,0,2.355
.78,.01,-.01,.23,.52,16.98,36.20%,58.98%,41.02%,70.37%,163,"3,497",11.97,5.005,16.85,17.10,JAN 16,40,3.75,3.90,-.21,.01,.00,.22,-.31,3.83,31.97%,37.30%,62.70%,65.36%,0,681,0,3.825
.71,.01,-.01,.27,.51,13.73,34.18%,51.58%,48.42%,82.77%,16,191,6.97,6.755,13.60,13.85,JAN 16,45,5.55,5.70,-.29,.01,.00,.26,-.42,5.63,30.84%,46.16%,53.84%,80.28%,36,906,0,5.625
.63,.01,-.01,.29,.48,11.02,33.00%,43.82%,56.18%,95.31%,28,500,1.97,9.055,10.90,11.15,JAN 16,50,7.85,8.00,-.37,.02,-.01,.29,-.54,7.92,30.06%,54.97%,45.03%,94.69%,0,95,0,7.925
.59,.02,-.01,.30,.46,9.92,32.80%,39.99%,60.01%,97.82%,0,101,0,9.925,9.75,10.10,JAN 16,52.5,9.15,9.30,-.42,.02,-.01,.30,-.60,9.22,29.66%,59.14%,40.86%,97.66%,0,232,.53,8.695
