thinkBack: Stock quote and option quote for EBAY on 10/31/13 12:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
52.725,-.615,"8,700,053",53.51,53.51,52.5156

Theo parameters
Theo date,Theo stock price,Theo volatility
11/2/13,+.00,+0.00%

NOV1 13  (2)  100 (Weeklys)
Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic,Bid,Ask,Exp,Strike,Bid,Ask,Delta,Gamma,Theta,Vega,Rho,Theo Price,Impl Vol,Prob.ITM,Prob.OTM,Prob.Touch,Volume,Open.Int,Intrinsic,Extrinsic
.82,.03,-.01,.10,.16,8.90,28.72%,76.23%,23.77%,45.17%,12,610,7.725,1.175,8.85,8.95,APR 14,45,1.02,1.05,-.17,.03,-.01,.09,-.05,1.04,27.79%,22.84%,77.16%,43.51%,32,"6,933",0,1.035
.65,.04,-.01,.13,.14,5.35,27.14%,57.89%,42.11%,79.39%,161,"1,010",2.725,2.625,5.30,5.40,APR 14,50,2.46,2.50,-.35,.04,-.01,.13,-.09,2.48,26.49%,41.74%,58.26%,78.83%,212,"2,583",0,2.48
.55,.04,-.01,.14,.12,3.95,26.55%,47.57%,52.43%,98.31%,238,"2,138",.225,3.725,3.90,4.00,APR 14,52.5,3.55,3.60,-.45,.04,-.01,.14,-.12,3.57,25.92%,52.31%,47.69%,98.26%,408,"2,438",0,3.575
.44,.04,-.01,.14,.10,2.83,26.10%,37.48%,62.52%,79.68%,25,"3,536",0,2.825,2.80,2.85,APR 14,55,4.90,5.00,-.56,.04,-.01,.14,-.15,4.95,25.49%,62.65%,37.35%,79.25%,188,952,2.275,2.675
.35,.04,-.01,.13,.08,1.97,25.80%,28.34%,71.66%,59.83%,3,"1,955",0,1.965,1.94,1.99,APR 14,57.5,6.55,6.65,-.66,.04,-.01,.13,-.17,6.60,25.24%,71.96%,28.04%,59.10%,0,366,4.775,1.825
.26,.04,-.01,.12,.06,1.33,25.59%,20.64%,79.36%,43.32%,25,989,0,1.33,1.31,1.35,APR 14,60,8.45,8.50,-.74,.03,-.01,.12,-.18,8.48,25.08%,79.74%,20.26%,42.46%,10,269,7.275,1.20
.19,.03,-.01,.10,.04,.89,25.56%,14.62%,85.38%,30.54%,60,664,0,.89,.87,.91,APR 14,62.5,9.40,11.95,-.80,.03,-.01,.10,-.18,10.68,26.46%,84.70%,15.30%,32.06%,0,258,9.775,.90
.14,.02,-.01,.08,.03,.59,25.57%,10.08%,89.92%,20.98%,0,629,0,.585,.57,.60,APR 14,65,11.65,13.40,-.89,.02,.00,.06,-.14,12.53,22.21%,92.58%,7.42%,15.31%,0,47,12.275,.25
.06,.01,.00,.05,.01,.25,25.71%,4.53%,95.47%,9.38%,0,"2,218",0,.245,.23,.26,APR 14,70,16.20,18.20,-1.00,.00,.00,.00,.00,17.28,--,100.00%,0.00%,,0,124,17.275,-.075
.03,.01,.00,.03,.01,.11,26.35%,2.08%,97.92%,4.29%,16,239,0,.11,.10,.12,APR 14,75,20.30,23.95,-1.00,.00,.00,.00,.00,22.28,--,100.00%,0.00%,,0,30,22.275,-.15
